# Acquisition Start Time: 2025-07-25 23:33:14.884
# Event recording for acquisition session
# Data source: 事件数据
# Contains error_range for patient training

time(s),event_name,stage,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,error_range
70.33594,开始矫正,阶段2,1379.4369706025996,2139.0918398936496,962.618240862205,2229.8661489730302,1414.8629796904954,1644.9317215377582,1007.02112337288,2022.62253538783,712.934318151806,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
75.497211,矫正完成,阶段2,1383.657450120292,1596.936722588422,930.0174940032333,2174.6868905891884,2261.968170771566,1566.81182185308,1008.5071256206065,1427.35184385243,606.3446822211431,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
76.865259,矫正完成,阶段2,1385.3072576186653,1591.9286624453061,930.9789570276292,2182.3937555025514,2250.6267335512316,1577.5365901762427,1008.3143379340363,1424.3194504424239,619.9610527538019,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
77.676144,矫正完成,阶段2,1384.1302864575823,1591.7323656605463,931.9315765181674,2177.4027794089075,2244.2580760462615,1570.6308343642231,1008.906933661949,1424.6037674173447,612.941683739988,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
78.191884,矫正完成,阶段2,1384.570766635819,1592.4791681986997,932.9830639289967,2173.8886584726315,2241.2952699220727,1566.5201979926617,1008.8839378937028,1424.2144030838426,607.066937931521,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
78.588353,矫正完成,阶段2,1384.2083507071372,1591.2205792476095,932.1189553343662,2174.828966914029,2238.8781728505,1566.4170889916395,1008.9168746378713,1424.0992597414174,607.4372266711308,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
78.800723,矫正完成,阶段2,1383.5808899713581,1590.8373530798813,931.7396058094333,2176.663554881509,2238.1756550151085,1572.2681348016906,1008.7229459949954,1424.1394981665046,613.6581808846648,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
79.014381,矫正完成,阶段2,1384.1137410121523,1591.1500442520487,931.1806245879206,2179.191966122329,2237.5622853193504,1574.3803379985056,1009.1745884449907,1424.0972510653091,617.8160209577807,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
79.138782,矫正完成,阶段2,1384.1407687502588,1590.4345955725253,932.3813509953945,2177.3787543226604,2236.621825861963,1572.5294278416982,1009.0606535562841,1423.9650830394485,614.5162882256872,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
79.797073,矫正完成,阶段2,1383.5742359957792,1590.451058200626,931.2704166450042,2174.7195022328624,2231.7842251477296,1565.7541850863079,1008.7892711381548,1424.1406738614091,607.1668590769822,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
80.13286,矫正完成,阶段2,1384.532521643504,1591.402039723446,931.5036158062909,2174.4509923378455,2230.964809859895,1565.874478330587,1008.8538023759897,1424.166354063524,605.8591028059957,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
97.416734,矫正完成,阶段2,1388.26990163853,1579.3617795565551,954.440570960797,2251.087628623597,1547.7527480950837,1654.5052612860666,1018.9817998491333,1422.2257704112683,738.3610777216132,,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
102.276843,矫正完成,阶段2,100.26864385604858,1392.6170339556206,1637.3871054836568,912.1668100663412,2220.548436533457,2788.4864644334675,1673.3158126320145,1032.1958178844009,1475.6093051795729,758.036270965709,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
108.64676,矫正完成,阶段2,106.60235214233398,1392.290569575364,1622.2280640699769,932.9639978265423,2218.424722761826,2298.706531556764,1657.6776309784327,1022.5326727208584,1458.5597971388802,741.0511584782324,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
114.504314,开始沉髋,阶段3,112.48946738243103,1392.866578087535,1576.6361389350716,959.299070253843,2324.338692047687,1434.6736900998362,1794.324399569352,1022.0092182620584,1411.7103648655373,939.009572585453,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
116.465583,沉髋完成,阶段3,114.43450975418091,1392.1911012554165,1603.5096782022933,940.2655817816152,2263.1291739694875,2164.15441356391,1713.5372761055698,1018.7594686296178,1441.4030401478026,822.3090927205232,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
120.942937,开始沉肩,阶段3,118.96132755279541,1394.1030251729217,1603.5745304748627,961.5201732387451,2267.0522659448006,1448.492722784479,1715.8289249474794,1039.3048727996634,1440.09609342369,826.0648580874943,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
123.788745,沉肩完成,阶段3,121.7493200302124,1390.936313919568,1618.7294392927615,922.2711556001793,2189.4932571285017,2518.7344796718985,1612.9363665152807,1023.1971418156854,1455.5587292887628,681.2172271670339,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.1
